Cao Bằng	Thục Phán
Sơn La	Chiềng Cơi
Lai Châu	Tân Phong
Lạng Sơn	Lương Văn Tri
Tuyên Quang	Minh Xuân
Lào Cai	Yên Bái
Thái Nguyên	Phan Đình Phùng
Điện Biên	Điện Biên Phủ
Phú Thọ	Việt Trì
Bắc Ninh	Bắc Giang
Hà Nội	Hoàn Kiếm
Quảng Ninh	Hạ Long
Hải Phòng	Thủy Nguyên
Hưng Yên	Phố Hiến
Ninh Bình	Hoa Lư
Thanh Hóa	Hạc Thành
Nghệ An	Trường Vinh
Hà Tĩnh	Thành Sen
Quảng Trị	Đồng Hới
Huế	Thuận Hóa
Đà Nẵng	Hải Châu
Quảng Ngãi	Cẩm Thành
Gia Lai	Quy Nhơn
Đắk Lắk	Buôn Ma Thuột
Khánh Hòa	Nha Trang
Lâm Đồng	Xuân Hương – Đà Lạt
Đồng Nai	Trấn Biên
TP. Hồ Chí Minh	Sài Gòn
Tây Ninh	Long An
Đồng Tháp	Mỹ Tho
Vĩnh Long	Long Châu
Cần Thơ	Ninh Kiều
An Giang	Rạch Giá
Cà Mau	Tân Thành
